channel 8, range 141, amp 665, level 7, msec 1540981195214, tick 2226569
channel 8, range 143, amp 674, level 7, msec 1540981195220, tick 2226574
channel 9, range 144, amp 634, level 8, msec 1540981195215, tick 12516945
channel 8, range 144, amp 663, level 7, msec 1540981195225, tick 2226580
channel 8, range 141, amp 676, level 7, msec 1540981195230, tick 2226585
channel 9, range 144, amp 635, level 8, msec 1540981195221, tick 12516951
channel 9, range 144, amp 636, level 8, msec 1540981195227, tick 12516957
channel 8, range 143, amp 670, level 7, msec 1540981195236, tick 2226591
channel 8, range 141, amp 672, level 7, msec 1540981195241, tick 2226596
channel 9, range 143, amp 634, level 8, msec 1540981195234, tick 12516964
channel 8, range 141, amp 680, level 7, msec 1540981195248, tick 2226602
channel 9, range 144, amp 636, level 8, msec 1540981195241, tick 12516970
channel 9, range 145, amp 630, level 8, msec 1540981195247, tick 12516976
channel 8, range 145, amp 676, level 7, msec 1540981195253, tick 2226608
channel 8, range 143, amp 673, level 7, msec 1540981195258, tick 2226613
channel 8, range 140, amp 674, level 7, msec 1540981195264, tick 2226619
channel 8, range 143, amp 674, level 7, msec 1540981195271, tick 2226624
channel 9, range 144, amp 632, level 8, msec 1540981195253, tick 12516983
channel 9, range 144, amp 630, level 8, msec 1540981195259, tick 12516989
channel 8, range 141, amp 673, level 7, msec 1540981195277, tick 2226630
channel 8, range 141, amp 674, level 7, msec 1540981195281, tick 2226635
channel 8, range 141, amp 659, level 7, msec 1540981195286, tick 2226641
channel 9, range 144, amp 636, level 8, msec 1540981195266, tick 12516996
channel 9, range 144, amp 634, level 8, msec 1540981195272, tick 12517002
channel 8, range 143, amp 674, level 7, msec 1540981195291, tick 2226646
channel 8, range 141, amp 660, level 7, msec 1540981195297, tick 2226652
channel 9, range 145, amp 633, level 8, msec 1540981195279, tick 12517008
channel 9, range 144, amp 636, level 8, msec 1540981195285, tick 12517015
channel 9, range 143, amp 633, level 8, msec 1540981195292, tick 12517021
channel 9, range 143, amp 635, level 8, msec 1540981195298, tick 12517027
channel 8, range 143, amp 674, level 7, msec 1540981195302, tick 2226657
channel 8, range 143, amp 670, level 7, msec 1540981195308, tick 2226663
channel 9, range 144, amp 630, level 8, msec 1540981195304, tick 12517034
channel 9, range 144, amp 634, level 8, msec 1540981195310, tick 12517040
channel 8, range 143, amp 673, level 7, msec 1540981195314, tick 2226669
channel 8, range 141, amp 657, level 7, msec 1540981195319, tick 2226674
channel 9, range 144, amp 632, level 8, msec 1540981195317, tick 12517047
channel 9, range 144, amp 629, level 8, msec 1540981195323, tick 12517053
channel 8, range 143, amp 675, level 7, msec 1540981195325, tick 2226680
channel 8, range 141, amp 658, level 7, msec 1540981195331, tick 2226685
