channel 5, range 120, amp 509, level 7, msec 1540979391838, tick 417333
channel 6, range 124, amp 741, level 7, msec 1540979391839, tick 419090
channel 5, range 120, amp 510, level 7, msec 1540979391844, tick 417339
channel 6, range 124, amp 740, level 7, msec 1540979391844, tick 419095
channel 5, range 120, amp 510, level 7, msec 1540979391849, tick 417344
channel 6, range 124, amp 740, level 7, msec 1540979391850, tick 419101
channel 5, range 120, amp 508, level 7, msec 1540979391855, tick 417350
channel 6, range 124, amp 738, level 7, msec 1540979391855, tick 419106
channel 5, range 120, amp 510, level 7, msec 1540979391860, tick 417355
channel 6, range 124, amp 743, level 7, msec 1540979391861, tick 419112
channel 5, range 121, amp 509, level 7, msec 1540979391866, tick 417361
channel 6, range 124, amp 742, level 7, msec 1540979391866, tick 419117
channel 5, range 121, amp 509, level 7, msec 1540979391871, tick 417367
channel 6, range 125, amp 742, level 7, msec 1540979391872, tick 419123
channel 5, range 120, amp 508, level 7, msec 1540979391877, tick 417372
channel 6, range 125, amp 739, level 7, msec 1540979391878, tick 419128
channel 5, range 120, amp 510, level 7, msec 1540979391883, tick 417378
channel 6, range 123, amp 740, level 7, msec 1540979391883, tick 419134
channel 5, range 120, amp 509, level 7, msec 1540979391888, tick 417383
channel 6, range 124, amp 740, level 7, msec 1540979391889, tick 419139
channel 6, range 124, amp 741, level 7, msec 1540979391894, tick 419145
channel 5, range 120, amp 510, level 7, msec 1540979391894, tick 417389
channel 5, range 121, amp 510, level 7, msec 1540979391899, tick 417394
channel 6, range 124, amp 739, level 7, msec 1540979391900, tick 419150
channel 5, range 120, amp 509, level 7, msec 1540979391906, tick 417400
channel 6, range 125, amp 737, level 7, msec 1540979391906, tick 419156
channel 5, range 120, amp 510, level 7, msec 1540979391910, tick 417405
channel 6, range 124, amp 741, level 7, msec 1540979391911, tick 419162
channel 6, range 124, amp 740, level 7, msec 1540979391917, tick 419167
channel 5, range 120, amp 510, level 7, msec 1540979391917, tick 417411
channel 5, range 121, amp 510, level 7, msec 1540979391921, tick 417416
channel 6, range 125, amp 739, level 7, msec 1540979391922, tick 419173
channel 5, range 120, amp 509, level 7, msec 1540979391927, tick 417422
channel 6, range 124, amp 741, level 7, msec 1540979391927, tick 419178
channel 5, range 120, amp 509, level 7, msec 1540979391933, tick 417428
channel 6, range 123, amp 739, level 7, msec 1540979391933, tick 419184
