num, id,      sn,       name,	   cpuUsage,	   diskUsage,	   memoryUsage,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A),	   rebootTimes,	   skuTimes,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m),   tofConflictNum,      index
001,  1, b827eb53e5aa, GWFL-001,        0,        0,        0,        0,        0,           0,              0,        0,        0,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0,0,"1,2,3,4"
002,  2, 5410ec335467, GWSL-002,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
003,  3, d88039a36a07, GWSL-003,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
004,  4, 5410ec339df1, GWSL-004,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
005,  5, 5410ec33bbc5, GWSL-005,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
006,  6, 5410ec338224, GWSL-006,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
007,  7, 5410ec33db27, GWSL-007,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
008,  8, d88039a3a46f, GWSL-008,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
009,  9, 230183330058, CDSC-009,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
010, 10, 5410ec338070, GWSL-010,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
011, 11, 5410ec3369d2, GWSL-011,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
012, 12, 5410ec33f433, GWSL-012,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
013, 13, 5410ec33d657, GWSL-013,        0,        0,        0,        0,        0,           0,              0,        0,        0,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600,0,                N/A
