num, id,      sn,       name,	   tofReboot, GW02Reboot, ForwardReboot(N/A), skuPreReboot(N/A)
001,  1, b827eb53e5aa, GWFL-001,        0,        0,           0,              0
002,  2, 5410ec335467, GWSL-002,        0,        0,           0,              0
003,  3, d88039a36a07, GWSL-003,        0,        0,           0,              0
004,  4, 5410ec339df1, GWSL-004,        0,        0,           0,              0
005,  5, 5410ec33bbc5, GWSL-005,        0,        0,           0,              0
006,  6, 5410ec338224, GWSL-006,        0,        0,           0,              0
007,  7, 5410ec33db27, GWSL-007,        0,        0,           0,              0
008,  8, d88039a3a46f, GWSL-008,        0,        0,           0,              0
009,  9, 230183330058, CDSC-009,        0,        0,           0,              0
010, 10, 5410ec338070, GWSL-010,        0,        0,           0,              0
011, 11, 5410ec3369d2, GWSL-011,        0,        0,           0,              0
012, 12, 5410ec33f433, GWSL-012,        0,        0,           0,              0
013, 13, 5410ec33d657, GWSL-013,        0,        0,           0,              0
014, 14, d88039a3c2c2, GWSL-014,        0,        0,           0,              0
015, 15, 5410ec33a336, GWSL-015,        0,        0,           0,              0
016, 16, 5410ec3383f6, GWSL-016,        0,        0,           0,              0
017, 17, 5410ec336861, GWSL-017,        0,        0,           0,              0
018, 18, 5410ec33bb64, GWSL-018,        0,        0,           0,              0
019, 19, 5410ec337f8e, GWSL-019,        0,        0,           0,              0
020, 20, cc4b731d36e2, GWSL-020,        0,        0,           0,              0
021, 21, 230183310001, CDSC-021,        0,        0,           0,              0
022, 22, 230183310013, CDSC-022,        0,        0,           0,              0
023, 23, cc4b731d4436, GWSL-023,        0,        0,           0,              0
024, 24, 230183730002, CDSC-024,        0,        0,           0,              0
025, 25, cc4b731d863c, GWSL-025,        0,        0,           0,              0
026, 26, 5410ec33be53, GWSL-026,        0,        0,           0,              0
027, 27, 230183510048, CDSC-027,        0,        0,           0,              0
028, 30, cc4b731d44a2, GWSL-030,        0,        0,           0,              0
029, 34, 230183330049, CDSC-034,        0,        0,           0,              0
030, 29, ac83f35a3458, GWSL-029,        0,        0,           0,              0
031, 28, cc4b731d29c4, GWSL-028,        0,        0,           0,              0
032, 31, cc4b731d8410, GWSL-031,        0,        0,           0,              0
033, 32, b0f1ec980ce0, GWSL-032,        0,        0,           0,              0
034, 33, 230183330040, CDSC-033,        0,        0,           0,              0
035, 36, 230183310012, CDSC-036,        0,        0,           0,              0
036, 35, 230183310010, CDSC-035,        0,        0,           0,              0
037, 37, 230183330057, CDSC-037,        0,        0,           0,              0
038, 38, 5410ec33d625, GWSL-038,        0,        0,           0,              0
039, 39, 5410ec33a33e, GWSL-039,        0,        0,           0,              0
040, 40, 5410ec338352, GWSL-040,        0,        0,           0,              0
041, 41, 5410ec3366f9, GWSL-041,        0,        0,           0,              0
042, 42, 230184340002, CDSC-042,        0,        0,           0,              0
