num, id,     sn,         name,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m)
001,  1, b827eb53e5aa, GWFL-001,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0
002,  2, 5410ec335467, GWSL-002,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
003,  3, d88039a36a07, GWSL-003,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
004,  4, 5410ec339df1, GWSL-004,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
005,  5, 5410ec33bbc5, GWSL-005,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
006,  6, 5410ec338224, GWSL-006,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
007,  7, 5410ec33db27, GWSL-007,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
008,  8, d88039a3a46f, GWSL-008,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
009,  9, 230183330058, CDSC-009,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
010, 10, 5410ec338070, GWSL-010,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
011, 11, 5410ec3369d2, GWSL-011,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
012, 12, 5410ec33f433, GWSL-012,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
013, 13, 5410ec33d657, GWSL-013,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
014, 14, d88039a3c2c2, GWSL-014,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
015, 15, 5410ec33a336, GWSL-015,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
016, 16, 5410ec3383f6, GWSL-016,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
017, 17, 5410ec336861, GWSL-017,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0
018, 18, 5410ec33bb64, GWSL-018,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0
019, 19, 5410ec337f8e, GWSL-019,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
020, 20, cc4b731d36e2, GWSL-020,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
021, 21, 230183310001, CDSC-021,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
022, 22, 230183310013, CDSC-022,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
023, 23, cc4b731d4436, GWSL-023,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
024, 24, 230183730002, CDSC-024,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
025, 25, cc4b731d863c, GWSL-025,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
026, 26, 5410ec33be53, GWSL-026,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
027, 27, 230183510048, CDSC-027,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
028, 30, cc4b731d44a2, GWSL-030,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
029, 34, 230183330049, CDSC-034,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
030, 29, ac83f35a3458, GWSL-029,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
031, 28, cc4b731d29c4, GWSL-028,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
032, 31, cc4b731d8410, GWSL-031,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
033, 32, b0f1ec980ce0, GWSL-032,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
034, 33, 230183330040, CDSC-033,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
035, 36, 230183310012, CDSC-036,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
036, 35, 230183310010, CDSC-035,    online,       0,    2018-11-19 23:00,    2018-11-20 09:00,        600,            0
037, 37, 230183330057, CDSC-037,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
038, 38, 5410ec33d625, GWSL-038,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
039, 39, 5410ec33a33e, GWSL-039,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
040, 40, 5410ec338352, GWSL-040,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
041, 41, 5410ec3366f9, GWSL-041,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
042, 42, 230184340002, CDSC-042,   offline,       0,    2018-11-19 23:00,    2018-11-20 09:00,          0,          600
