num, id,     sn,         name,     status,  offlineTimes,      fromTime,            toTime,        onlineTime(m),  offlineTime(m)
001,  1, b827ebb59c45, GWFL-001,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
002,  8, 5410ec33da94, GWSL-008,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
003,  9, 5410ec33bedc, GWSL-009,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
004, 10, d88039a34a13, GWSL-010,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
005, 11, 5410ec339f1c, GWSL-011,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
006, 13, 5410ec33f2e7, GWSL-013,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
007, 15, 5410ec339c23, GWSL-015,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
008, 16, d88039a37313, GWSL-016,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
009, 18, 5410ec3366f9, GWSL-018,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
010, 19, 5410ec33c0b7, GWSL-019,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
011, 20, 5410ec33daea, GWSL-020,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
012, 21, 5410ec336a71, GWSL-021,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
013, 22, 5410ec33a0b6, GWSL-022,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
014, 23, 5410ec337f26, GWSL-023,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
015, 24, 5410ec336861, GWSL-024,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
016,  2, 5410ec33d680, GWSL-002,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
017,  3, 5410ec33c15a, GWSL-003,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
018,  4, 5410ec33c0b4, GWSL-004,   offline,       1,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
019,  5, 5410ec3406df, GWSL-005,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
020,  6, d88039a3c10f, GWSL-006,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
021,  7, 5410ec337f61, GWSL-007,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
022, 12, d88039a38743, GWSL-012,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
023, 14, d88039a36f49, GWSL-014,    online,       0,    2018-11-16 11:16,    2018-11-16 20:28,        552,            0
024, 17, cc4b731d29e6, GWSL-017,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
025, 25, 5410ec33bb6c, GWSL-025,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
026, 26, d88039a350ea, GWSL-026,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
027, 27, d88039a32f94, GWSL-027,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
028, 28, 5410ec33bb64, GWSL-028,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
029, 29, d88039a34fbf, GWSL-029,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
030, 30, 5410ec33f3e3, GWSL-030,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
031, 31, 5410ec3379b4, GWSL-031,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
032, 32, d88039a372fc, GWSL-032,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
033, 33, 5410ec33ba38, GWSL-033,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
034, 34, 5410ec33bcbb, GWSL-034,   offline,       0,    2018-11-16 11:16,    2018-11-16 20:28,          0,          552
